,date,title,rank,rank_last_week,weeks_on_list,description,publisher,author
171,2019-08-09,UNDER CURRENTS,7,4,3,Echoes of a violent childhood reverberate for Zane Bigelow when he starts a new kind of family in North Carolina’s Blue Ridge Mountains.,St. Martin's,Nora Roberts
172,2019-08-09,WINDOW ON THE BAY,8,6,2,A single mom’s life takes unexpected turns when her two children go off to college.,Ballantine,Debbie Macomber
173,2019-08-09,CITY OF GIRLS,9,8,8,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
174,2019-08-09,"ASK AGAIN, YES",10,0,3,The lives of neighboring families in a New York City suburb intertwine over four decades.,Scribner,Mary Beth Keane
175,2019-08-09,THE SILENT PATIENT,11,11,24,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
176,2019-08-09,BACKLASH,12,9,5,"Cut off from any support, Scot Harvath fights to get his revenge.",Emily Bestler/Atria,Brad Thor
177,2019-08-09,LADY IN THE LAKE,13,0,1,"In 1966, a housewife becomes a reporter and investigates the killing of a black woman in Baltimore.",Morrow,Laura Lippman
178,2019-08-09,MRS. EVERYTHING,14,10,7,The story of two sisters and how the world around them changes drastically from the 1950s.,Atria,Jennifer Weiner
179,2019-08-09,THE CHAIN,15,12,3,Rachel Klein is ensnared in a pay-it-forward criminal enterprise involving ransoms and kidnapping.,"Mulholland/Little, Brown",Adrian McKinty
180,2019-08-02,THE NEW GIRL,1,0,1,"Gabriel Allon, the chief of Israeli intelligence, partners with the crown prince of Saudi Arabia, whose daughter is kidnapped.",Harper,Daniel Silva
181,2019-08-02,WHERE THE CRAWDADS SING,2,1,46,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
182,2019-08-02,THE NICKEL BOYS,3,0,1,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
183,2019-08-02,UNDER CURRENTS,4,2,2,Echoes of a violent childhood reverberate for Zane Bigelow when he starts a new kind of family in North Carolina’s Blue Ridge Mountains.,St. Martin's,Nora Roberts
184,2019-08-02,SUMMER OF '69,5,3,5,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
185,2019-08-02,WINDOW ON THE BAY,6,0,1,A single mom’s life takes unexpected turns when her two children go off to college.,Ballantine,Debbie Macomber
186,2019-08-02,EVVIE DRAKE STARTS OVER,7,9,4,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.",Ballantine,Linda Holmes
187,2019-08-02,CITY OF GIRLS,8,4,7,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
188,2019-08-02,BACKLASH,9,5,4,"Cut off from any support, Scot Harvath fights to get his revenge.",Emily Bestler/Atria,Brad Thor
189,2019-08-02,MRS. EVERYTHING,10,10,6,"The story of two sisters, Jo and Bethie Kaufman, and their life experiences as the world around them changes drastically from the 1950s.",Atria,Jennifer Weiner
190,2019-08-02,THE SILENT PATIENT,11,14,23,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
191,2019-08-02,THE CHAIN,12,7,2,Rachel Klein is ensnared in a pay-it-forward criminal enterprise involving ransoms and kidnapping.,"Mulholland/Little, Brown",Adrian McKinty
192,2019-08-02,LOST AND FOUND,13,8,4,A photographer embarks on a road trip to reconnect with three men she might have married.,Delacorte,Danielle Steel
193,2019-08-02,SHAMED,14,0,1,An Amish family’s secrets are exposed when the grandmother is murdered and granddaughter is abducted.,Minotaur,Linda Castillo
194,2019-08-02,RED METAL,15,0,1,"After a Russian military attack, a small team of American and European soldiers unite against them.",Berkley,Mark Greaney and Hunter Ripley Rawlings IV
195,2019-07-26,WHERE THE CRAWDADS SING,1,1,45,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
196,2019-07-26,UNDER CURRENTS,2,0,1,Echoes of a violent childhood reverberate for Zane Bigelow when he starts a new kind of family in North Carolina’s Blue Ridge Mountains.,St. Martin's,Nora Roberts
197,2019-07-26,SUMMER OF '69,3,2,4,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
198,2019-07-26,CITY OF GIRLS,4,5,6,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
199,2019-07-26,BACKLASH,5,4,3,"Cut off from any support, Scot Harvath fights to get his revenge.",Emily Bestler/Atria,Brad Thor
200,2019-07-26,KNIFE,6,0,1,"After Rakel kicks him out, Harry Hole begins anew with the Oslo police cold case office to investigate a serial rapist and killer from his past.",Knopf,Jo Nesbo
201,2019-07-26,THE CHAIN,7,0,1,Rachel Klein is ensnared in a pay-it-forward criminal enterprise involving ransoms and kidnapping.,"Mulholland/Little, Brown",Adrian McKinty
202,2019-07-26,LOST AND FOUND,8,6,3,A photographer embarks on a road trip to reconnect with three men she might have married.,Delacorte,Danielle Steel
203,2019-07-26,EVVIE DRAKE STARTS OVER,9,3,3,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.",Ballantine,Linda Holmes
204,2019-07-26,MRS. EVERYTHING,10,7,5,"The story of two sisters, Jo and Bethie Kaufman, and their life experiences as the world around them changes drastically from the 1950s.",Atria,Jennifer Weiner
205,2019-07-26,UNSOLVED,11,8,6,A string of seemingly accidental and unrelated deaths confound F.B.I. Agent Emmy Dockery.,"Little, Brown",James Patterson and David Ellis
206,2019-07-26,THE GOLDEN HOUR,12,0,1,"In 1941, a society magazine writer turns up unsavory dealings when she investigates the Duke and Duchess of Windsor in the Bahamas.",Morrow,Beatriz Williams
207,2019-07-26,ON EARTH WE'RE BRIEFLY GORGEOUS,13,10,6,"Little Dog writes a letter to a mother who cannot read, revealing a family history.",Penguin Press,Ocean Vuong
208,2019-07-26,THE SILENT PATIENT,14,14,22,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
209,2019-07-26,WHISPER NETWORK,15,12,2,Three close co-workers file a sexual harassment lawsuit against a top C.E.O. candidate at an athletic apparel brand in Dallas.,Flatiron,Chandler Baker
210,2019-07-19,WHERE THE CRAWDADS SING,1,1,44,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
211,2019-07-19,SUMMER OF '69,2,3,3,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
212,2019-07-19,EVVIE DRAKE STARTS OVER,3,15,2,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.",Ballantine,Linda Holmes
213,2019-07-19,BACKLASH,4,2,2,"Cut off from any support, Scot Harvath fights to get his revenge.",Emily Bestler/Atria,Brad Thor
214,2019-07-19,CITY OF GIRLS,5,5,5,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
215,2019-07-19,LOST AND FOUND,6,4,2,A photographer embarks on a road trip to reconnect with three men she might have married.,Delacorte,Danielle Steel
216,2019-07-19,MRS. EVERYTHING,7,7,4,"The story of two sisters, Jo and Bethie Kaufman, and their life experiences as the world around them changes drastically from the 1950s.",Atria,Jennifer Weiner
217,2019-07-19,UNSOLVED,8,6,5,A string of seemingly accidental and unrelated deaths confound F.B.I. Agent Emmy Dockery.,"Little, Brown",James Patterson and David Ellis
218,2019-07-19,LOCK EVERY DOOR,9,0,1,An apartment sitter uncovers secrets as she tries to expose a killer in an upscale Manhattan building.,Dutton,Riley Sager
219,2019-07-19,ON EARTH WE'RE BRIEFLY GORGEOUS,10,10,5,"Little Dog writes a letter to a mother who cannot read, revealing a family history.",Penguin Press,Ocean Vuong
220,2019-07-19,TOM CLANCY: ENEMY CONTACT,11,9,4,Jack Ryan Jr. must stop an international criminal conspiracy and deal with tragic news.,Putnam,Mike Maden
221,2019-07-19,WHISPER NETWORK,12,0,1,Three close co-workers file a sexual harassment lawsuit against a top C.E.O. candidate at an athletic apparel brand in Dallas.,Flatiron,Chandler Baker
222,2019-07-19,GIRLS LIKE US,13,0,1,F.B.I. Agent Nell Flynn returns to Long Island and suspects her recently deceased father might have killed two young women.,Putnam,Cristina Alger
223,2019-07-19,THE SILENT PATIENT,14,12,21,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
224,2019-07-19,SURFSIDE SISTERS,15,0,1,"When things go sour in New York City, a novelist returns to Nantucket, where she must face past mistakes.",Ballantine,Nancy Thayer
225,2019-07-12,WHERE THE CRAWDADS SING,1,2,43,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
226,2019-07-12,BACKLASH,2,0,1,"Cut off from any support, Scot Harvath fights to get his revenge.",Emily Bestler/Atria,Brad Thor
227,2019-07-12,SUMMER OF '69,3,1,2,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
228,2019-07-12,LOST AND FOUND,4,0,1,A photographer embarks on a road trip to reconnect with three men she might have married.,Delacorte,Danielle Steel
229,2019-07-12,CITY OF GIRLS,5,3,4,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
230,2019-07-12,UNSOLVED,6,4,4,A string of seemingly accidental and unrelated deaths confound F.B.I. Agent Emmy Dockery.,"Little, Brown",James Patterson and David Ellis
231,2019-07-12,MRS. EVERYTHING,7,5,3,"The story of two sisters, Jo and Bethie Kaufman, and their life experiences as the world around them changes drastically from the 1950s.",Atria,Jennifer Weiner
232,2019-07-12,BIG SKY,8,0,1,Detective Jackson Brodie uncovers a sinister network in a sleepy seaside town.,"Little, Brown",Kate Atkinson
233,2019-07-12,TOM CLANCY: ENEMY CONTACT,9,6,3,Jack Ryan Jr. must stop an international criminal conspiracy and deal with tragic news.,Putnam,Mike Maden
234,2019-07-12,ON EARTH WE'RE BRIEFLY GORGEOUS,10,8,4,"Little Dog writes a letter to a mother who cannot read, revealing a family history.",Penguin Press,Ocean Vuong
235,2019-07-12,THE ORACLE,11,7,3,"Treasure-hunting couple, Sam and Remi Fargo, embark on a new adventure to find a sacred ancient scroll and lift its curse.",Putnam,Clive Cussler and Robin Burcell
236,2019-07-12,THE SILENT PATIENT,12,12,20,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
237,2019-07-12,THE MOST FUN WE EVER HAD,13,0,1,"The highs and lows of the four Sorenson sisters are illuminated when Jonah Bendt, who was given up in a closed adoption by one of them, arrives.",Doubleday,Claire Lombardo
238,2019-07-12,THE LAST HOUSE GUEST,14,15,2,Avery Greer must fight the clock to clear her name and uncover her friend’s real killer.,Simon & Schuster,Megan Miranda
239,2019-07-12,EVVIE DRAKE STARTS OVER,15,0,1,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.",Ballantine,Linda Holmes
240,2019-07-05,SUMMER OF '69,1,0,1,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
241,2019-07-05,WHERE THE CRAWDADS SING,2,1,42,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
242,2019-07-05,CITY OF GIRLS,3,4,3,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
243,2019-07-05,UNSOLVED,4,2,3,A string of seemingly accidental and unrelated deaths confound F.B.I. agent Emmy Dockery.,"Little, Brown",James Patterson and David Ellis
244,2019-07-05,MRS. EVERYTHING,5,3,2,"The story of two sisters, Jo and Bethie Kaufman, and their life experiences as the world around them changes drastically from the 1950s.",Atria,Jennifer Weiner
245,2019-07-05,TOM CLANCY: ENEMY CONTACT,6,5,2,Jack Ryan Jr.’s latest adventures take him on a mission to stop an international criminal conspiracy and deal with tragic news.,Putnam,Mike Maden
246,2019-07-05,THE ORACLE,7,6,2,"Treasure-hunting couple, Sam and Remi Fargo, embark on a new adventure to find a sacred ancient scroll and lift its curse.",Putnam,Clive Cussler and Robin Burcell
247,2019-07-05,ON EARTH WE'RE BRIEFLY GORGEOUS,8,10,3,"Little Dog writes a letter to a mother who cannot read, revealing a family history.",Penguin Press,Ocean Vuong
248,2019-07-05,QUEEN BEE,9,11,4,"A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower.",Morrow,Dorothea Benton Frank
249,2019-07-05,FLEISHMAN IS IN TROUBLE,10,0,1,Toby Fleishman is forced to confront his own perception of his actions when his ex-wife drops off their kids at his place and disappears.,Random House,Taffy Brodesser-Akner
250,2019-07-05,REDEMPTION,11,8,10,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,Grand Central,David Baldacci
251,2019-07-05,THE SILENT PATIENT,12,15,19,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
252,2019-07-05,NORMAL PEOPLE,13,0,8,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,Hogarth,Sally Rooney
253,2019-07-05,FALL; OR DODGE IN HELL,14,14,3,A dead multibillionaire’s brain is scanned and turned back on at a time when humans live as digital souls.,Morrow,Neal Stephenson
254,2019-07-05,THE LAST HOUSE GUEST,15,0,1,Littleport resident Avery Greer and visitor Sadie Loman become good friends until Sadie mysteriously dies. Avery must fight the clock to clear her name and uncover the real killer.,Simon & Schuster,Megan Miranda
255,2019-06-28,WHERE THE CRAWDADS SING,1,1,41,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
256,2019-06-28,UNSOLVED,2,3,2,A string of seemingly accidental and unrelated deaths confound F.B.I. agent Emmy Dockery.,"Little, Brown",James Patterson and David Ellis
257,2019-06-28,MRS. EVERYTHING,3,0,1,"The story of two sisters, Jo and Bethie Kaufman, and their life experiences as the world around them changes drastically from the 1950s.",Atria,Jennifer Weiner
258,2019-06-28,CITY OF GIRLS,4,2,2,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
259,2019-06-28,TOM CLANCY: ENEMY CONTACT,5,0,1,Jack Ryan Jr.’s latest adventures take him on a mission to stop an international criminal conspiracy and deal with tragic news.,Putnam,Mike Maden
260,2019-06-28,THE ORACLE,6,0,1,"Treasure-hunting couple, Sam and Remi Fargo, embark on a new adventure to find a sacred ancient scroll and lift its curse.",Putnam,Clive Cussler and Robin Burcell
261,2019-06-28,RECURSION,7,0,1,A dark force alters people's memories so drastically that reality itself starts to shift.,Crown,Blake Crouch
262,2019-06-28,REDEMPTION,8,8,9,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,Grand Central,David Baldacci
263,2019-06-28,THE SUMMER GUESTS,9,0,1,A hurricane threatening the coasts of Florida and South Carolina leads to a group of strangers sheltering together in a home.,Gallery,Mary Alice Monroe
264,2019-06-28,ON EARTH WE'RE BRIEFLY GORGEOUS,10,6,2,"Little Dog writes a letter to a mother who cannot read, revealing a family history.",Penguin Press,Ocean Vuong
265,2019-06-28,QUEEN BEE,11,5,3,"A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower.",Morrow,Dorothea Benton Frank
266,2019-06-28,THE GUEST BOOK,12,7,6,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,Flatiron,Sarah Blake
267,2019-06-28,THE 18TH ABDUCTION,13,12,7,The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,"Little, Brown",James Patterson and Maxine Paetro
268,2019-06-28,FALL; OR DODGE IN HELL,14,4,2,A dead multibillionaire’s brain is scanned and turned back on at a time when humans live as digital souls.,Morrow,Neal Stephenson
269,2019-06-28,THE SILENT PATIENT,15,0,18,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
270,2019-06-21,WHERE THE CRAWDADS SING,1,1,40,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
271,2019-06-21,CITY OF GIRLS,2,0,1,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
272,2019-06-21,UNSOLVED,3,0,1,A string of seemingly accidental and unrelated deaths confound F.B.I. agent Emmy Dockery.,"Little, Brown",James Patterson and David Ellis
273,2019-06-21,FALL; OR DODGE IN HELL,4,0,1,A dead multibillionaire’s brain is scanned and turned back on at a time when humans live as digital souls.,Morrow,Neal Stephenson
274,2019-06-21,QUEEN BEE,5,2,2,"A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower.",Morrow,Dorothea Benton Frank
275,2019-06-21,ON EARTH WE'RE BRIEFLY GORGEOUS,6,0,1,"Little Dog writes a letter to a mother who cannot read, revealing a family history.",Penguin Press,Ocean Vuong
276,2019-06-21,THE GUEST BOOK,7,4,5,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,Flatiron,Sarah Blake
277,2019-06-21,REDEMPTION,8,6,8,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,Grand Central,David Baldacci
278,2019-06-21,SKIN GAME,9,0,1,The third book in the Teddy Fay series. Teddy Fay scours Paris’s underworld to find a treasonous criminal.,Putnam,Stuart Woods and Parnell Hall
279,2019-06-21,SUNSET BEACH,10,7,5,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,St. Martin's,Mary Kay Andrews
280,2019-06-21,SEARCHING FOR SYLVIE LEE,11,0,1,"An immigrant Chinese family’s secrets emerge as Amy looks for her older sister, who vanished after flying to the Netherlands.",Morrow,Jean Kwok
281,2019-06-21,THE 18TH ABDUCTION,12,3,6,The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,"Little, Brown",James Patterson and Maxine Paetro
282,2019-06-21,"ASK AGAIN, YES",13,5,2,The lives of neighboring families in a New York City suburb intertwine over four decades.,Scribner,Mary Beth Keane
283,2019-06-21,MOSTLY DEAD THINGS,14,0,1,"After her father commits suicide, Jessa-Lynn Morton is forced to engage with her family's eccentricities and taxidermy business.",Tin House,Kristen Arnett
284,2019-06-21,THE FRIENDS WE KEEP,15,0,1,A 30th reunion between three college friends reveals shattered hopes and a dark secret.,Berkley,Jane Green
285,2019-06-14,WHERE THE CRAWDADS SING,1,1,39,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
286,2019-06-14,QUEEN BEE,2,0,1,"A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower.",Morrow,Dorothea Benton Frank
287,2019-06-14,THE 18TH ABDUCTION,3,2,5,The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,"Little, Brown",James Patterson and Maxine Paetro
288,2019-06-14,THE GUEST BOOK,4,6,4,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,Flatiron,Sarah Blake
289,2019-06-14,"ASK AGAIN, YES",5,0,1,The lives of neighboring families in a New York City suburb intertwine over four decades.,Scribner,Mary Beth Keane
290,2019-06-14,REDEMPTION,6,5,7,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,Grand Central,David Baldacci
291,2019-06-14,SUNSET BEACH,7,7,4,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,St. Martin's,Mary Kay Andrews
292,2019-06-14,FIRE AND BLOOD,8,4,23,The first volume of the two-part history of the Targaryens in Westeros.,Bantam,George RR Martin
293,2019-06-14,THE SILENT PATIENT,9,12,17,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
294,2019-06-14,BLESSING IN DISGUISE,10,8,4,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,Delacorte,Danielle Steel
295,2019-06-14,THE STIEHL ASSASSIN,11,0,1,The third book in the Fall of Shannara series.,Del Rey,Terry Brooks
296,2019-06-14,NORMAL PEOPLE,12,11,7,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,Hogarth,Sally Rooney
297,2019-06-14,CARI MORA,13,3,2,"Hans-Peter Schneider pauses his ghastly deeds to seek a dead man’s gold hidden under a Miami mansion, but its caretaker’s surprising skills prove daunting.",Grand Central,Thomas Harris
298,2019-06-14,NEON PREY,14,9,6,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,Putnam,John Sandford
299,2019-06-14,THE SENTENCE IS DEATH,15,0,1,Detective Daniel Hawthorne teams up with the author Anthony Horowitz to solve the mysterious killing of a celebrity divorce lawyer.,Harper,Anthony Horowitz
300,2019-06-07,WHERE THE CRAWDADS SING,1,1,38,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
301,2019-06-07,THE 18TH ABDUCTION,2,2,4,The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,"Little, Brown",James Patterson and Maxine Paetro
302,2019-06-07,CARI MORA,3,0,1,"Hans-Peter Schneider pauses his ghastly deeds to seek a dead man’s gold hidden under a Miami mansion, but its caretaker’s surprising skills prove daunting.",Grand Central,Thomas Harris
303,2019-06-07,FIRE AND BLOOD,4,9,22,The first volume of the two-part history of the Targaryens in Westeros.,Bantam,George RR Martin
304,2019-06-07,REDEMPTION,5,4,6,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,Grand Central,David Baldacci
305,2019-06-07,THE GUEST BOOK,6,6,3,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,Flatiron,Sarah Blake
306,2019-06-07,SUNSET BEACH,7,7,3,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,St. Martin's,Mary Kay Andrews
307,2019-06-07,BLESSING IN DISGUISE,8,5,3,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,Delacorte,Danielle Steel
308,2019-06-07,NEON PREY,9,8,5,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,Putnam,John Sandford
309,2019-06-07,THE NIGHT WINDOW,10,3,2,"The fifth book in the Jane Hawk series. The former F.B.I. agent pursues a slew of bad guys, including a Vegas mob boss.",Bantam,Dean Koontz
310,2019-06-07,NORMAL PEOPLE,11,10,6,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,Hogarth,Sally Rooney
311,2019-06-07,THE SILENT PATIENT,12,12,16,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
312,2019-06-07,THE BIG KAHUNA,13,14,3,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.,Putnam,Janet Evanovich and Peter Evanovich
313,2019-06-07,LOST ROSES,14,13,7,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",Ballantine,Martha Hall Kelly
314,2019-06-07,EXHALATION,15,15,3,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”,Knopf,Ted Chiang
315,2019-05-31,WHERE THE CRAWDADS SING,1,1,37,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
316,2019-05-31,THE 18TH ABDUCTION,2,2,3,The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,"Little, Brown",James Patterson and Maxine Paetro
317,2019-05-31,THE NIGHT WINDOW,3,0,1,"The fifth book in the Jane Hawk series. The former F.B.I. agent pursues a slew of bad guys, including a Vegas mob boss.",Bantam,Dean Koontz
318,2019-05-31,REDEMPTION,4,4,5,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,Grand Central,David Baldacci
319,2019-05-31,BLESSING IN DISGUISE,5,3,2,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,Delacorte,Danielle Steel
320,2019-05-31,THE GUEST BOOK,6,10,2,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,Flatiron,Sarah Blake
321,2019-05-31,SUNSET BEACH,7,5,2,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,St. Martin's,Mary Kay Andrews
322,2019-05-31,NEON PREY,8,9,4,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,Putnam,John Sandford
323,2019-05-31,FIRE AND BLOOD,9,14,21,The first volume of the two-part history of the Targaryens in Westeros.,Bantam,George RR Martin
324,2019-05-31,NORMAL PEOPLE,10,12,5,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,Hogarth,Sally Rooney
325,2019-05-31,THE NEVER GAME,11,0,1,"Colter Shaw, the son of a survivalist family, probes the underbelly of Silicon Valley to go after a kidnapper.",Putnam,Jeffery Deaver
326,2019-05-31,THE SILENT PATIENT,12,13,15,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
327,2019-05-31,LOST ROSES,13,11,6,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",Ballantine,Martha Hall Kelly
328,2019-05-31,THE BIG KAHUNA,14,8,2,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.,Putnam,Janet Evanovich and Peter Evanovich
329,2019-05-31,EXHALATION,15,15,2,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”,Knopf,Ted Chiang
330,2019-05-24,WHERE THE CRAWDADS SING,1,1,36,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
331,2019-05-24,THE 18TH ABDUCTION,2,2,2,The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,"Little, Brown",James Patterson and Maxine Paetro
332,2019-05-24,BLESSING IN DISGUISE,3,0,1,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,Delacorte,Danielle Steel
333,2019-05-24,REDEMPTION,4,3,4,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,Grand Central,David Baldacci
334,2019-05-24,SUNSET BEACH,5,0,1,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,St. Martin's,Mary Kay Andrews
335,2019-05-24,STORM CURSED,6,0,1,The 11th book in the Mercy Thompson series. Dangers swell as Death approaches.,Ace,Patricia Briggs
336,2019-05-24,THE ROAD HOME,7,0,1,The third book in the Broken Road series. Charles James continues his journey on Route 66 to his ultimate destination.,Simon & Schuster,Richard Paul Evans
337,2019-05-24,THE BIG KAHUNA,8,0,1,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.,Putnam,Janet Evanovich and Peter Evanovich
338,2019-05-24,NEON PREY,9,4,3,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,Putnam,John Sandford
339,2019-05-24,THE GUEST BOOK,10,0,1,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,Flatiron,Sarah Blake
340,2019-05-24,LOST ROSES,11,5,5,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",Ballantine,Martha Hall Kelly
341,2019-05-24,NORMAL PEOPLE,12,6,4,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,Hogarth,Sally Rooney
342,2019-05-24,THE SILENT PATIENT,13,7,14,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
343,2019-05-24,FIRE AND BLOOD,14,9,20,The first volume of the two-part history of the Targaryens in Westeros.,Bantam,George RR Martin
